2025-03-30T20:33:54,098 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl - Starting
2025-03-30T20:33:54,500 [pool-2-thread-14] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=13, userName=32cbdfd4-43a6-4e74-a74d-c85af50e963f, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-13] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=12, userName=f008d113-44ca-4529-93c9-3ab43b476364, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-14] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=13, userName=32cbdfd4-43a6-4e74-a74d-c85af50e963f, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-2] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=1, userName=729309be-7919-4fe8-8151-c613f50ccc9f, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-20] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=19, userName=7de6a306-79cc-4154-9c3f-5af063fa6b57, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-2] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=1, userName=729309be-7919-4fe8-8151-c613f50ccc9f, sex=true)
2025-03-30T20:33:54,501 [pool-2-thread-20] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=19, userName=7de6a306-79cc-4154-9c3f-5af063fa6b57, sex=true)
2025-03-30T20:33:54,501 [pool-2-thread-10] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=9, userName=d89dd8b3-0af0-44c3-87d7-fcde79f6f1ce, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-10] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=9, userName=d89dd8b3-0af0-44c3-87d7-fcde79f6f1ce, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-19] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=18, userName=1f34f04c-d4eb-44d5-9353-2705802c0198, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-4] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=3, userName=628f5993-6df0-44e2-86d0-c6177b0dee20, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-7] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=6, userName=b596a0f9-bb5b-4068-bec3-05e287e3c638, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,500 [pool-2-thread-15] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=14, userName=7b3a5a86-a7c0-45b8-8677-94dda5ffdaa7, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-19] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=18, userName=1f34f04c-d4eb-44d5-9353-2705802c0198, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-15] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=14, userName=7b3a5a86-a7c0-45b8-8677-94dda5ffdaa7, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-8] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=7, userName=55a5c497-5f48-4ba2-99cf-996013f445e2, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,501 [pool-2-thread-7] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=6, userName=b596a0f9-bb5b-4068-bec3-05e287e3c638, sex=false)
2025-03-30T20:33:54,502 [pool-2-thread-18] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=17, userName=d1ce73b5-7e76-4a29-9ed4-f5f1b5abe2a0, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-8] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=7, userName=55a5c497-5f48-4ba2-99cf-996013f445e2, sex=false)
2025-03-30T20:33:54,501 [pool-2-thread-4] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=3, userName=628f5993-6df0-44e2-86d0-c6177b0dee20, sex=false)
2025-03-30T20:33:54,500 [pool-2-thread-3] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=2, userName=e7138c8d-1f45-47f4-8080-583fb9ffa5b5, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-18] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=17, userName=d1ce73b5-7e76-4a29-9ed4-f5f1b5abe2a0, sex=false)
2025-03-30T20:33:54,502 [pool-2-thread-3] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=2, userName=e7138c8d-1f45-47f4-8080-583fb9ffa5b5, sex=true)
2025-03-30T20:33:54,502 [pool-2-thread-17] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=16, userName=7a620e20-356c-49b8-8ac5-0040b57a3323, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-17] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=16, userName=7a620e20-356c-49b8-8ac5-0040b57a3323, sex=true)
2025-03-30T20:33:54,500 [pool-2-thread-12] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=11, userName=91b8e5cd-e9c0-452d-9bac-48e45f306d9c, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-12] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=11, userName=91b8e5cd-e9c0-452d-9bac-48e45f306d9c, sex=true)
2025-03-30T20:33:54,502 [pool-2-thread-16] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=15, userName=79bdd303-64df-45d1-9a32-fdde940d5452, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,500 [pool-2-thread-9] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=8, userName=ecd1117f-04dd-4add-bc15-01eeba1b27ae, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-11] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=10, userName=fe7239ab-de4a-4145-9247-6afe3ed80770, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,502 [pool-2-thread-16] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=15, userName=79bdd303-64df-45d1-9a32-fdde940d5452, sex=false)
2025-03-30T20:33:54,503 [pool-2-thread-9] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=8, userName=ecd1117f-04dd-4add-bc15-01eeba1b27ae, sex=false)
2025-03-30T20:33:54,502 [pool-2-thread-6] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=5, userName=03403911-9ac8-4284-bf65-f802496eb851, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,503 [pool-2-thread-5] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=4, userName=7b61e24f-18e4-4486-8d40-829435f54802, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,503 [pool-2-thread-11] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=10, userName=fe7239ab-de4a-4145-9247-6afe3ed80770, sex=true)
2025-03-30T20:33:54,503 [pool-2-thread-5] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=4, userName=7b61e24f-18e4-4486-8d40-829435f54802, sex=false)
2025-03-30T20:33:54,500 [pool-2-thread-1] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=0, userName=2f371dbf-e36d-4445-aca0-92200741886c, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,503 [pool-2-thread-1] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=0, userName=2f371dbf-e36d-4445-aca0-92200741886c, sex=false)
2025-03-30T20:33:54,503 [pool-2-thread-6] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=5, userName=03403911-9ac8-4284-bf65-f802496eb851, sex=true)
2025-03-30T20:33:54,509 [pool-2-thread-2] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=1, datatype=class java.lang.Integer)
2025-03-30T20:33:54,509 [pool-2-thread-20] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=19, datatype=class java.lang.Integer)
2025-03-30T20:33:54,509 [pool-2-thread-2] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=1
2025-03-30T20:33:54,509 [pool-2-thread-13] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=12, datatype=class java.lang.Integer)
2025-03-30T20:33:54,509 [pool-2-thread-13] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=12
2025-03-30T20:33:54,509 [pool-2-thread-20] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=19
2025-03-30T20:33:54,511 [pool-2-thread-10] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=9, datatype=class java.lang.Integer)
2025-03-30T20:33:54,511 [pool-2-thread-10] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=9
2025-03-30T20:33:54,512 [pool-2-thread-15] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=14, datatype=class java.lang.Integer)
2025-03-30T20:33:54,512 [pool-2-thread-15] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=14
2025-03-30T20:33:54,513 [pool-2-thread-19] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=18, datatype=class java.lang.Integer)
2025-03-30T20:33:54,513 [pool-2-thread-7] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=6, datatype=class java.lang.Integer)
2025-03-30T20:33:54,513 [pool-2-thread-7] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=6
2025-03-30T20:33:54,513 [pool-2-thread-14] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=13, datatype=class java.lang.Integer)
2025-03-30T20:33:54,513 [pool-2-thread-4] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=3, datatype=class java.lang.Integer)
2025-03-30T20:33:54,513 [pool-2-thread-14] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=13
2025-03-30T20:33:54,513 [pool-2-thread-4] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=3
2025-03-30T20:33:54,513 [pool-2-thread-19] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=18
2025-03-30T20:33:54,514 [pool-2-thread-18] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=17, datatype=class java.lang.Integer)
2025-03-30T20:33:54,514 [pool-2-thread-18] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=17
2025-03-30T20:33:54,515 [pool-2-thread-3] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=2, datatype=class java.lang.Integer)
2025-03-30T20:33:54,515 [pool-2-thread-3] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=2
2025-03-30T20:33:54,516 [pool-2-thread-17] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=16, datatype=class java.lang.Integer)
2025-03-30T20:33:54,516 [pool-2-thread-17] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=16
2025-03-30T20:33:54,516 [pool-2-thread-12] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=11, datatype=class java.lang.Integer)
2025-03-30T20:33:54,517 [pool-2-thread-12] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=11
2025-03-30T20:33:54,518 [pool-2-thread-16] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=15, datatype=class java.lang.Integer)
2025-03-30T20:33:54,519 [pool-2-thread-16] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=15
2025-03-30T20:33:54,519 [pool-2-thread-9] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=8, datatype=class java.lang.Integer)
2025-03-30T20:33:54,519 [pool-2-thread-9] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=8
2025-03-30T20:33:54,520 [pool-2-thread-8] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=7, datatype=class java.lang.Integer)
2025-03-30T20:33:54,520 [pool-2-thread-8] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=7
2025-03-30T20:33:54,520 [pool-2-thread-11] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=10, datatype=class java.lang.Integer)
2025-03-30T20:33:54,520 [pool-2-thread-11] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=10
2025-03-30T20:33:54,521 [pool-2-thread-13] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=20, userName=f8ee32b3-eb9a-4f76-990e-ffa22182d1ff, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,521 [pool-2-thread-13] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=20, userName=f8ee32b3-eb9a-4f76-990e-ffa22182d1ff, sex=true)
2025-03-30T20:33:54,522 [pool-2-thread-6] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=5, datatype=class java.lang.Integer)
2025-03-30T20:33:54,522 [pool-2-thread-6] INFO  com.weihua.consumer.ConsumerTest - 向服务端插入user的id=5
2025-03-30T20:33:54,523 [pool-2-thread-20] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=22, userName=727d59ae-e87c-4139-a27c-230464a8a625, sex=false), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,523 [pool-2-thread-20] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=22, userName=727d59ae-e87c-4139-a27c-230464a8a625, sex=false)
2025-03-30T20:33:54,523 [pool-2-thread-10] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=23, userName=f293f738-fe55-454b-9f71-db75181bae0c, sex=true), datatype=class com.weihua.pojo.User)
2025-03-30T20:33:54,523 [pool-2-thread-10] INFO  com.weihua.consumer.ConsumerTest - 从服务端得到的user=User(id=23, userName=f293f738-fe55-454b-9f71-db75181bae0c, sex=true)
2025-03-30T20:33:54,524 [pool-2-thread-14] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=26, userName=a42472a0-1f8c-4000-93fe-aed8e25d0272, sex=true), datatype=class com.weihua.pojo.User)
